id,student_id,name,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8,course_9
,2220498,A500,74,26,11,74,26,11,78,77,89
,2220499,A500,48,94,55,14,26,85,48,88,62
,2220500,A500,88,78,63,63,26,11,54,18,13
,2220501,A500,84,63,12,12,71,18,74,22,85
,2220502,A500,74,26,11,74,26,11,78,77,89
,2220503,A500,48,94,55,14,26,85,48,88,62
,2220504,A500,88,78,63,63,26,11,54,18,13
,2220505,A500,84,63,12,12,71,18,74,22,85
,2220506,A500,74,26,11,74,26,11,78,77,89
,2220507,A500,48,94,55,14,26,85,48,88,62
,2220508,A500,88,78,63,63,26,11,54,18,13
,2220509,A500,84,63,12,12,71,18,74,22,85
,2220510,A500,74,26,11,74,26,11,78,77,89
,2220511,A500,48,94,55,14,26,85,48,88,62
,2220512,A500,88,78,63,63,26,11,54,18,13
,2220513,A500,84,63,12,12,71,18,74,22,85
,2220514,A500,74,26,11,74,26,11,78,77,89
,2220515,A500,48,94,55,14,26,85,48,88,62
,2220516,A500,88,78,63,63,26,11,54,18,13
,2220517,A500,84,63,12,12,71,18,74,22,85
,2220518,A500,74,26,11,74,26,11,78,77,89
,2220519,A500,48,94,55,14,26,85,48,88,62
,2220520,A500,88,78,63,63,26,11,54,18,13
,2220521,A500,84,63,12,12,71,18,74,22,85
,2220522,A500,74,26,11,74,26,11,78,77,89
,2220523,A500,48,94,55,14,26,85,48,88,62
,2220524,A500,88,78,63,63,26,11,54,18,13
,2220525,A500,84,63,12,12,71,18,74,22,85
,2220526,A500,74,26,11,74,26,11,78,77,89
,2220527,A500,48,94,55,14,26,85,48,88,62
,2220528,A500,88,78,63,63,26,11,54,18,13
,2220529,A500,84,63,12,12,71,18,74,22,85
,2220530,A500,74,26,11,74,26,11,78,77,89
,2220531,A500,48,94,55,14,26,85,48,88,62
,2220532,A500,88,78,63,63,26,11,54,18,13
,2220533,A500,84,63,12,12,71,18,74,22,85
,2220534,A500,74,26,11,74,26,11,78,77,89
,2220535,A500,48,94,55,14,26,85,48,88,62
,2220536,A500,88,78,63,63,26,11,54,18,13
,2220537,A500,84,63,12,12,71,18,74,22,85
,2220538,A500,74,26,11,74,26,11,78,77,89
,2220539,A500,48,94,55,14,26,85,48,88,62
,2220540,A500,88,78,63,63,26,11,54,18,13
,2220541,A500,84,63,12,12,71,18,74,22,85
,2220542,A500,74,26,11,74,26,11,78,77,89
,2220543,A500,48,94,55,14,26,85,48,88,62
,2220544,A500,88,78,63,63,26,11,54,18,13
,2220545,A500,84,63,12,12,71,18,74,22,85
,2220546,A500,74,26,11,74,26,11,78,77,89
,2220547,A500,48,94,55,14,26,85,48,88,62
,2220548,A500,88,78,63,63,26,11,54,18,13
,2220549,A500,84,63,12,12,71,18,74,22,85
,2220550,A500,74,26,11,74,26,11,78,77,89
,2220551,A500,48,94,55,14,26,85,48,88,62
,2220552,A500,88,78,63,63,26,11,54,18,13
,2220553,A500,84,63,12,12,71,18,74,22,85
,2220554,A500,74,26,11,74,26,11,78,77,89
,2220555,A500,48,94,55,14,26,85,48,88,62
,2220556,A500,88,78,63,63,26,11,54,18,13
,2220557,A500,84,63,12,12,71,18,74,22,85
,2220558,A500,74,26,11,74,26,11,78,77,89
,2220559,A500,48,94,55,14,26,85,48,88,62
,2220560,A500,88,78,63,63,26,11,54,18,13
,2220561,A500,84,63,12,12,71,18,74,22,85
,2220562,A500,74,26,11,74,26,11,78,77,89
,2220563,A500,48,94,55,14,26,85,48,88,62
,2220564,A500,88,78,63,63,26,11,54,18,13
,2220565,A500,84,63,12,12,71,18,74,22,85
,2220566,A500,74,26,11,74,26,11,78,77,89
,2220567,A500,48,94,55,14,26,85,48,88,62
,2220568,A500,88,78,63,63,26,11,54,18,13
,2220569,A500,84,63,12,12,71,18,74,22,85
,2220570,A500,74,26,11,74,26,11,78,77,89
,2220571,A500,48,94,55,14,26,85,48,88,62
,2220572,A500,88,78,63,63,26,11,54,18,13
,2220573,A500,84,63,12,12,71,18,74,22,85
,2220574,A500,74,26,11,74,26,11,78,77,89
,2220575,A500,48,94,55,14,26,85,48,88,62
,2220576,A500,88,78,63,63,26,11,54,18,13
,2220577,A500,84,63,12,12,71,18,74,22,85
,2220578,A500,74,26,11,74,26,11,78,77,89
,2220579,A500,48,94,55,14,26,85,48,88,62
,2220580,A500,88,78,63,63,26,11,54,18,13
,2220581,A500,84,63,12,12,71,18,74,22,85
,2220582,A500,74,26,11,74,26,11,78,77,89
,2220583,A500,48,94,55,14,26,85,48,88,62
,2220584,A500,88,78,63,63,26,11,54,18,13
,2220585,A500,84,63,12,12,71,18,74,22,85
,2220586,A500,74,26,11,74,26,11,78,77,89
,2220587,A500,48,94,55,14,26,85,48,88,62
,2220588,A500,88,78,63,63,26,11,54,18,13
,2220589,A500,84,63,12,12,71,18,74,22,85
,2220590,A500,74,26,11,74,26,11,78,77,89
,2220591,A500,48,94,55,14,26,85,48,88,62
,2220592,A500,88,78,63,63,26,11,54,18,13
,2220593,A500,84,63,12,12,71,18,74,22,85
,2220594,A500,74,26,11,74,26,11,78,77,89
,2220595,A500,48,94,55,14,26,85,48,88,62
,2220596,A500,88,78,63,63,26,11,54,18,13
